text,label
meth addiction is a serious problem,1
mescaline abuse has serious health consequences,1
I love the smell of fresh beans,0
I went tennis with my friends yesterday,0
I had a productive day at work,0
My family loves nuts for dinner,0
I spent the afternoon cooking,0
The side effects of opioids are severe,1
Overdosing on percocet can be fatal,1
The steak I made tasted delicious,0
Cooking fish is my weekend ritual,0
I had a productive day at the beach,0
I've been sober from hydrocodone for 6 months,1
The fruit I made tasted delicious,0
methamphetamine withdrawal symptoms include depression,1
I went boxing with my friends yesterday,0
Medical treatment for opioids requires expertise,1
Mixing methadone with alcohol is deadly,1
Synthetic oxycodone is extremely dangerous,1
My friend has been struggling with gbl use,1
Reading poetry books is my favorite activity,0
My family loves steak for dinner,0
The sunset was beautiful at the desert,0
My garden has beautiful forest,0
The effects of kratom wear off quickly,1
The documentary movie made me laugh,0
The book club discussed a romance novel,0
My friend has been struggling with mdma use,1
I spent the afternoon dancing,0
I'm in recovery from heroin,1
I went boxing with my friends yesterday,0
hydrocodone is commonly misused for sleep,1
I love the smell of fresh fish,0
Rehab helped me quit vicodin,1
I practiced photography for three hours,0
Treatment for pcpx dependency requires professional help,1
I love the smell of fresh steak,0
The steak I made tasted delicious,0
gbl addiction is a serious problem,1
I went rugby with my friends yesterday,0
The side effects of dmt are severe,1
Recovery from opioids takes time and commitment,1
My family loves steak for dinner,0
Street xanax is often contaminated,1
The book club discussed a poetry novel,0
Long-term methadone use causes serious damage,1
I've been sober from opioids for 1 year,1
tramadol addiction is a serious problem,1
I enjoy cooking in my free time,0
I love the smell of fresh rice,0
My morphine habit cost me everything,1
I love the smell of fresh yogurt,0
weed abuse has serious health consequences,1
cocaine withdrawal symptoms include fever,1
The doctor prescribed meth for my fever,1
I never want to use psilocybin again,1
The vacation at the desert was wonderful,0
Withdrawing from opioids is very difficult,1
I love the smell of fresh cheese,0
The vacation at the canyon was wonderful,0
The dangers of morphine are well-documented,1
The doctor prescribed oxycodone for my fever,1
I baked cheese from scratch today,0
The doctor prescribed crack for my muscle ache,1
Treatment for cocaine dependency requires professional help,1
I've been sober from benzos for 2 years,1
The yogurt dessert was perfectly made,0
The cricket match was exciting,0
The windy weather ruined my picnicking,0
The book club discussed a thriller novel,0
Treatment for oxycodone dependency requires professional help,1
I took oxycodone yesterday for stress relief,1
My friend has been struggling with psilocybin use,1
The sunset was beautiful at the canyon,0
The rainy weather ruined my walking,0
I baked cake from scratch today,0
Recovery from ecstasy takes time and commitment,1
My music hobby has become my passion,0
Cooking fruit is my weekend ritual,0
My the mall colleagues are very friendly,0
The warm weather ruined my walking,0
My friend has been struggling with weed use,1
Cooking nuts is my weekend ritual,0
Cooking cookies is my weekend ritual,0
Watching adventure movies relaxes me,0
The adventure movie was amazing last night,0
Recovery from valium takes time and commitment,1
I practiced music for three hours,0
I enjoy dancing in my free time,0
The side effects of pcpx are severe,1
The beans dessert was perfectly made,0
My friend has been struggling with bath salts use,1
The effects of weed wear off quickly,1
The thriller movie was amazing last night,0
I had a productive day at school,0
Getting clean from dilaudid changed my life,1
I enjoy gaming in my free time,0
The fantasy movie made me laugh,0
I watched a great animated film at the cinema,0
The hot weather ruined my swimming,0
Synthetic percocet is extremely dangerous,1
Cooking chocolate is my weekend ritual,0
The effects of oxycodone wear off quickly,1
Seeking help for methcathinone addiction was the best decision,1
Withdrawing from oxycodone is very difficult,1
Rehab helped me quit codeine,1
Treatment for cannabis dependency requires professional help,1
Mixing hydrocodone with alcohol is deadly,1
Cooking chocolate is my weekend ritual,0
Street hydrocodone is often contaminated,1
I never want to use opioids again,1
I practiced painting for three hours,0
My friend has been struggling with crack use,1
I spent the afternoon dancing,0
I took cannabis yesterday for social purposes,1
The book club discussed a mystery novel,0
mescaline withdrawal symptoms include tremors,1
I've been sober from weed for 2 years,1
The vacation at the waterfall was wonderful,0
I'm planning a trip to the desert,0
My garden has beautiful waterfall,0
Watching horror movies relaxes me,0
I watched a great sci-fi film at the cinema,0
I discovered a new knitting I really enjoy,0
Staying clean from fentanyl is challenging,1
The sunset was beautiful at the cave,0
My ghb habit cost me everything,1
Rehab helped me quit pcpx,1
"The weather is snowy today, perfect for fishing",0
I spent the afternoon photography,0
Long-term meth use causes serious damage,1
I had a productive day at school,0
The clear weather ruined my swimming,0
Rehab helped me quit methamphetamine,1
The dangers of mdma are well-documented,1
The sunset was beautiful at the forest,0
The pasta I made tasted delicious,0
Getting clean from khat changed my life,1
The chicken dessert was perfectly made,0
I never want to use kratom again,1
My family loves cake for dinner,0
The effects of dmt wear off quickly,1
I went boxing with my friends yesterday,0
Getting clean from fentanyl changed my life,1
My kratom habit cost me everything,1
My garden has beautiful waterfall,0
My the library colleagues are very friendly,0
I love eating fish on weekends,0
Treatment for tramadol dependency requires professional help,1
I enjoy knitting in my free time,0
I've been sober from methcathinone for 10 years,1
The doctor prescribed ghb for my depression,1
I practiced music for three hours,0
The book club discussed a memoir novel,0
I love eating nuts on weekends,0
I'm planning a trip to the meadow,0
dilaudid is commonly misused for recreation,1
I discovered a new gaming I really enjoy,0
My the beach colleagues are very friendly,0
People with opium addiction need support,1
Watching animated movies relaxes me,0
The sci-fi movie was amazing last night,0
The side effects of synthetic cannabis are severe,1
I'm planning a trip to the waterfall,0
I love the smell of fresh pizza,0
I practiced drawing for three hours,0
The doctor prescribed vicodin for my injury,1
The vacation at the waterfall was wonderful,0
Cooking cake is my weekend ritual,0
Staying clean from crack is challenging,1
morphine withdrawal symptoms include headaches,1
Getting clean from lsd changed my life,1
meth withdrawal symptoms include paranoia,1
The side effects of percocet are severe,1
I'm planning a trip to the mountain,0
Getting clean from fentanyl changed my life,1
I took ketamine yesterday for self-medication,1
I had a productive day at the mall,0
My mescaline habit cost me everything,1
I had a productive day at the gym,0
The vacation at the river was wonderful,0
Reading mystery books is my favorite activity,0
Overdosing on gbl can be fatal,1
Reading historical books is my favorite activity,0
My cooking hobby has become my passion,0
pcpx withdrawal symptoms include fever,1
Reading fantasy books is my favorite activity,0
The rainy weather ruined my climbing,0
"The weather is hot today, perfect for swimming",0
I took hydrocodone yesterday for recreation,1
I baked nuts from scratch today,0
The vacation at the waterfall was wonderful,0
The bread dessert was perfectly made,0
The rugby match was exciting,0
The doctor prescribed dilaudid for my surgery,1
My family supported my oxycodone recovery,1
The side effects of benzos are severe,1
Seeking help for vicodin addiction was the best decision,1
The effects of khat wear off quickly,1
Withdrawing from psilocybin is very difficult,1
I'm planning a trip to the river,0
My friend has been struggling with vicodin use,1
My dancing hobby has become my passion,0
The vacation at the waterfall was wonderful,0
Long-term fentanyl use causes serious damage,1
gbl can be highly addictive and dangerous,1
I went volleyball with my friends yesterday,0
My the cafe colleagues are very friendly,0
The side effects of suboxone are severe,1
My gardening hobby has become my passion,0
Getting clean from weed changed my life,1
I've been sober from opioids for 5 years,1
methcathinone withdrawal symptoms include depression,1
The yogurt dessert was perfectly made,0
ghb withdrawal symptoms include nausea,1
opioids addiction is a serious problem,1
Watching drama movies relaxes me,0
Street dmt is often contaminated,1
The comedy movie was amazing last night,0
I've been sober from dilaudid for 15 years,1
I enjoy dancing in my free time,0
Seeking help for tramadol addiction was the best decision,1
I'm planning a trip to the meadow,0
I'm planning a trip to the waterfall,0
The park was crowded with people jogging,0
kratom addiction is a serious problem,1
valium abuse has serious health consequences,1
I took kratom yesterday for medical reasons,1
The vacation at the beach was wonderful,0
I baked nuts from scratch today,0
People with cocaine addiction need support,1
The dangers of opium are well-documented,1
"The weather is warm today, perfect for cycling",0
Recovery from bath salts takes time and commitment,1
ghb abuse has serious health consequences,1
My family supported my khat recovery,1
Getting clean from fentanyl changed my life,1
Street synthetic cannabis is often contaminated,1
My garden has beautiful cave,0
The doctor prescribed opioids for my back pain,1
I love eating bread on weekends,0
I'm planning a trip to the volcano,0
I practiced writing for three hours,0
Cooking cheese is my weekend ritual,0
Mixing mdma with alcohol is deadly,1
Rehab helped me quit dmt,1
My garden has beautiful canyon,0
I enjoy collecting in my free time,0
dilaudid abuse has serious health consequences,1
My the gym colleagues are very friendly,0
Seeking help for percocet addiction was the best decision,1
Seeking help for benzos addiction was the best decision,1
The dangers of kratom are well-documented,1
The park was crowded with people walking,0
I love the smell of fresh chicken,0
My friend has been struggling with mdma use,1
The fish I made tasted delicious,0
Reading mystery books is my favorite activity,0
I had a productive day at the library,0
spice addiction is a serious problem,1
The doctor prescribed percocet for my fever,1
My tennis team won the game yesterday,0
Mixing methamphetamine with alcohol is deadly,1
The animated movie made me laugh,0
I discovered a new cooking I really enjoy,0
I'm planning a trip to the waterfall,0
oxycodone addiction is a serious problem,1
My badminton team won the game yesterday,0
The chicken I made tasted delicious,0
The doctor prescribed mdma for my fever,1
Treatment for valium dependency requires professional help,1
I never want to use mescaline again,1
I enjoy gaming in my free time,0
I spent the afternoon painting,0
Seeking help for kratom addiction was the best decision,1
Watching action movies relaxes me,0
My friend has been struggling with methamphetamine use,1
The doctor prescribed kratom for my injury,1
The side effects of marijuana are severe,1
"The weather is warm today, perfect for running",0
People with ketamine addiction need support,1
I've been sober from meth for 15 years,1
meth is commonly misused for medical reasons,1
I'm in recovery from fentanyl,1
People with vicodin addiction need support,1
I never want to use morphine again,1
I'm in recovery from ghb,1
I took cocaine yesterday for peer pressure,1
My spice habit cost me everything,1
The thriller movie made me laugh,0
The fantasy movie was amazing last night,0
My the office colleagues are very friendly,0
Reading adventure books is my favorite activity,0
heroin is commonly misused for anxiety relief,1
The effects of xanax wear off quickly,1
My friend has been struggling with heroin use,1
The book club discussed a romance novel,0
My family supported my valium recovery,1
My the library colleagues are very friendly,0
The effects of dilaudid wear off quickly,1
The jam dessert was perfectly made,0
spice addiction is a serious problem,1
Long-term meth use causes serious damage,1
I practiced music for three hours,0
Mixing gbl with alcohol is deadly,1
Getting clean from percocet changed my life,1
I baked steak from scratch today,0
Rehab helped me quit xanax,1
The beans I made tasted delicious,0
The salad dessert was perfectly made,0
Treatment for dmt dependency requires professional help,1
The pasta I made tasted delicious,0
I watched a great western film at the cinema,0
Rehab helped me quit dmt,1
I had a productive day at the cafe,0
I had a productive day at the mall,0
Mixing vicodin with alcohol is deadly,1
My family loves chocolate for dinner,0
The effects of opium wear off quickly,1
My family loves pasta for dinner,0
I love eating pizza on weekends,0
The doctor prescribed dmt for my muscle ache,1
Watching comedy movies relaxes me,0
Long-term valium use causes serious damage,1
Staying clean from mescaline is challenging,1
My dilaudid habit cost me everything,1
I enjoy cooking in my free time,0
The volleyball match was exciting,0
I'm planning a trip to the mountain,0
I never want to use tramadol again,1
I practiced knitting for three hours,0
The park was crowded with people walking,0
I took tramadol yesterday for pain relief,1
Staying clean from ecstasy is challenging,1
I'm in recovery from ghb,1
My photography hobby has become my passion,0
Staying clean from dmt is challenging,1
"The weather is sunny today, perfect for walking",0
I enjoy drawing in my free time,0
The golf match was exciting,0
Recovery from hydrocodone takes time and commitment,1
I had a productive day at school,0
The romance movie made me laugh,0
Treatment for heroin dependency requires professional help,1
morphine withdrawal symptoms include sweating,1
Street gbl is often contaminated,1
lsd can be highly addictive and dangerous,1
Recovery from methamphetamine takes time and commitment,1
I love eating cookies on weekends,0
cocaine can be highly addictive and dangerous,1
I love eating yogurt on weekends,0
Reading self-help books is my favorite activity,0
The vacation at the meadow was wonderful,0
kratom addiction is a serious problem,1
The effects of cocaine wear off quickly,1
My marijuana habit cost me everything,1
spice can be highly addictive and dangerous,1
I discovered a new knitting I really enjoy,0
The vacation at the beach was wonderful,0
Long-term opioids use causes serious damage,1
Watching drama movies relaxes me,0
I've been sober from cocaine for 5 years,1
I love the smell of fresh honey,0
I've been sober from psilocybin for 3 months,1
I love eating fruit on weekends,0
Watching sci-fi movies relaxes me,0
I enjoy collecting in my free time,0
synthetic cannabis addiction is a serious problem,1
I took suboxone yesterday for pain relief,1
I love the smell of fresh bread,0
My collecting hobby has become my passion,0
The beans dessert was perfectly made,0
The action movie was amazing last night,0
The effects of tramadol wear off quickly,1
My codeine habit cost me everything,1
I took synthetic cannabis yesterday for pain relief,1
Rehab helped me quit methadone,1
I'm planning a trip to the volcano,0
People with bath salts addiction need support,1
Watching romance movies relaxes me,0
I baked steak from scratch today,0
The dangers of vicodin are well-documented,1
I'm planning a trip to the volcano,0
Reading horror books is my favorite activity,0
Synthetic xanax is extremely dangerous,1
Reading science fiction books is my favorite activity,0
The soccer match was exciting,0
The book club discussed a memoir novel,0
Getting clean from cannabis changed my life,1
I love eating honey on weekends,0
The park was crowded with people camping,0
My family supported my ketamine recovery,1
I went cricket with my friends yesterday,0
My bath salts habit cost me everything,1
Withdrawing from heroin is very difficult,1
"The weather is foggy today, perfect for camping",0
My boxing team won the game yesterday,0
Seeking help for mdma addiction was the best decision,1
I'm planning a trip to the desert,0
methadone addiction is a serious problem,1
I never want to use methcathinone again,1
Reading thriller books is my favorite activity,0
The dangers of dmt are well-documented,1
I love the smell of fresh bread,0
Seeking help for lsd addiction was the best decision,1
The sci-fi movie made me laugh,0
The sunset was beautiful at the cave,0
My rugby team won the game yesterday,0
My vicodin habit cost me everything,1
I never want to use ghb again,1
The stormy weather ruined my fishing,0
My family loves honey for dinner,0
Withdrawing from kratom is very difficult,1
I love eating jam on weekends,0
The doctor prescribed methadone for my inflammation,1
khat withdrawal symptoms include depression,1
My family loves burger for dinner,0
Staying clean from bath salts is challenging,1
Reading mystery books is my favorite activity,0
I had a productive day at the beach,0
I'm in recovery from vicodin,1
Mixing percocet with alcohol is deadly,1
I practiced music for three hours,0
The vacation at the volcano was wonderful,0
Synthetic oxycodone is extremely dangerous,1
My family supported my xanax recovery,1
I love the smell of fresh salad,0
Synthetic tramadol is extremely dangerous,1
Mixing meth with alcohol is deadly,1
Synthetic valium is extremely dangerous,1
My photography hobby has become my passion,0
My tennis team won the game yesterday,0
The thriller movie made me laugh,0
I never want to use heroin again,1
Getting clean from synthetic cannabis changed my life,1
Getting clean from vicodin changed my life,1
The thriller movie was amazing last night,0
My the office colleagues are very friendly,0
methamphetamine can be highly addictive and dangerous,1
My garden has beautiful valley,0
Cooking bread is my weekend ritual,0
The volleyball match was exciting,0
I baked pasta from scratch today,0
The sunset was beautiful at the river,0
I discovered a new music I really enjoy,0
Rehab helped me quit dilaudid,1
Reading thriller books is my favorite activity,0
Cooking fruit is my weekend ritual,0
The sunny weather ruined my picnicking,0
The sunset was beautiful at the volcano,0
Watching drama movies relaxes me,0
Recovery from percocet takes time and commitment,1
The side effects of pcpx are severe,1
The football match was exciting,0
I discovered a new gaming I really enjoy,0
My football team won the game yesterday,0
Watching animated movies relaxes me,0
I took dmt yesterday for medical reasons,1
Cooking cheese is my weekend ritual,0
The doctor prescribed cannabis for my injury,1
My garden has beautiful valley,0
People with spice addiction need support,1
The effects of methadone wear off quickly,1
The effects of cocaine wear off quickly,1
I'm in recovery from benzos,1
Getting clean from hydrocodone changed my life,1
Treatment for tramadol dependency requires professional help,1
The pasta I made tasted delicious,0
Reading fantasy books is my favorite activity,0
Medical treatment for xanax requires expertise,1
Street codeine is often contaminated,1
Staying clean from synthetic cannabis is challenging,1
"The weather is rainy today, perfect for jogging",0
The snowy weather ruined my running,0
I took valium yesterday for anxiety relief,1
My collecting hobby has become my passion,0
The book club discussed a horror novel,0
The nuts I made tasted delicious,0
"The weather is stormy today, perfect for cycling",0
codeine addiction is a serious problem,1
Getting clean from ghb changed my life,1
Recovery from methadone takes time and commitment,1
methamphetamine addiction is a serious problem,1
The effects of suboxone wear off quickly,1
Seeking help for xanax addiction was the best decision,1
I watched a great western film at the cinema,0
My family supported my hydrocodone recovery,1
I'm planning a trip to the cave,0
The dangers of percocet are well-documented,1
My rugby team won the game yesterday,0
The doctor prescribed lsd for my insomnia,1
xanax is commonly misused for anxiety relief,1
I took cannabis yesterday for recreation,1
My family loves beans for dinner,0
I love eating yogurt on weekends,0
The book club discussed a adventure novel,0
My badminton team won the game yesterday,0
I spent the afternoon collecting,0
The sci-fi movie made me laugh,0
Seeking help for vicodin addiction was the best decision,1
The romance movie made me laugh,0
My the cafe colleagues are very friendly,0
I'm planning a trip to the forest,0
My the restaurant colleagues are very friendly,0
Medical treatment for ecstasy requires expertise,1
Recovery from methadone takes time and commitment,1
Watching comedy movies relaxes me,0
The boxing match was exciting,0
The comedy movie made me laugh,0
My gaming hobby has become my passion,0
I've been sober from methcathinone for 3 months,1
People with khat addiction need support,1
I took fentanyl yesterday for anxiety relief,1
Staying clean from spice is challenging,1
The burger I made tasted delicious,0
I love the smell of fresh chocolate,0
I went baseball with my friends yesterday,0
I love eating steak on weekends,0
The vacation at the waterfall was wonderful,0
My ecstasy habit cost me everything,1
The book club discussed a adventure novel,0
I discovered a new writing I really enjoy,0
Reading romance books is my favorite activity,0
I enjoy photography in my free time,0
I baked burger from scratch today,0
Mixing kratom with alcohol is deadly,1
Street fentanyl is often contaminated,1
The vacation at the lake was wonderful,0
I enjoy knitting in my free time,0
Cooking burger is my weekend ritual,0
The vacation at the volcano was wonderful,0
The dangers of methadone are well-documented,1
Treatment for marijuana dependency requires professional help,1
My garden has beautiful canyon,0
My knitting hobby has become my passion,0
I took opium yesterday for stress relief,1
The side effects of mdma are severe,1
The effects of marijuana wear off quickly,1
cocaine withdrawal symptoms include depression,1
Treatment for khat dependency requires professional help,1
The sunset was beautiful at the valley,0
I enjoy music in my free time,0
My boxing team won the game yesterday,0
The side effects of methcathinone are severe,1
Medical treatment for lsd requires expertise,1
I had a productive day at work,0
The cake I made tasted delicious,0
The humid weather ruined my jogging,0
I'm planning a trip to the forest,0
My ketamine habit cost me everything,1
My family loves ice cream for dinner,0
My friend has been struggling with marijuana use,1
psilocybin abuse has serious health consequences,1
I never want to use dmt again,1
Seeking help for meth addiction was the best decision,1
I discovered a new writing I really enjoy,0
My lsd habit cost me everything,1
My garden has beautiful cave,0
Rehab helped me quit bath salts,1
Treatment for fentanyl dependency requires professional help,1
My family loves cheese for dinner,0
My the gym colleagues are very friendly,0
Long-term marijuana use causes serious damage,1
I had a productive day at the park,0
The vacation at the waterfall was wonderful,0
The adventure movie made me laugh,0
Long-term vicodin use causes serious damage,1
Street mdma is often contaminated,1
The sunset was beautiful at the waterfall,0
Rehab helped me quit valium,1
Long-term pcpx use causes serious damage,1
Cooking cake is my weekend ritual,0
The sunset was beautiful at the river,0
I never want to use hydrocodone again,1
My family loves pizza for dinner,0
I watched a great western film at the cinema,0
The windy weather ruined my picnicking,0
My family supported my opium recovery,1
Rehab helped me quit ketamine,1
Rehab helped me quit opioids,1
The bread dessert was perfectly made,0
The doctor prescribed vicodin for my anxiety,1
I had a productive day at the office,0
The soccer match was exciting,0
I love the smell of fresh yogurt,0
The effects of valium wear off quickly,1
Synthetic methcathinone is extremely dangerous,1
I never want to use weed again,1
The effects of hydrocodone wear off quickly,1
Overdosing on oxycodone can be fatal,1
My garden has beautiful desert,0
I love eating chocolate on weekends,0
My the store colleagues are very friendly,0
My music hobby has become my passion,0
Cooking yogurt is my weekend ritual,0
xanax withdrawal symptoms include paranoia,1
khat is commonly misused for pain relief,1
Recovery from heroin takes time and commitment,1
People with opium addiction need support,1
Reading mystery books is my favorite activity,0
Getting clean from lsd changed my life,1
I discovered a new gaming I really enjoy,0
I enjoy dancing in my free time,0
I had a productive day at the library,0
I took hydrocodone yesterday for social purposes,1
The park was crowded with people running,0
The salad dessert was perfectly made,0
I took weed yesterday for recreation,1
I've been sober from ghb for 10 years,1
I had a productive day at the library,0
Withdrawing from morphine is very difficult,1
"The weather is windy today, perfect for surfing",0
ketamine addiction is a serious problem,1
Medical treatment for ketamine requires expertise,1
I've been sober from ghb for 2 years,1
Withdrawing from crack is very difficult,1
The doctor prescribed xanax for my muscle ache,1
The dangers of morphine are well-documented,1
I baked steak from scratch today,0
I baked beans from scratch today,0
I had a productive day at the office,0
The sunset was beautiful at the volcano,0
I love eating nuts on weekends,0
My family supported my kratom recovery,1
I'm in recovery from bath salts,1
The romance movie was amazing last night,0
Mixing gbl with alcohol is deadly,1
Reading horror books is my favorite activity,0
Withdrawing from mescaline is very difficult,1
The dangers of methamphetamine are well-documented,1
The fantasy movie was amazing last night,0
I'm planning a trip to the mountain,0
My friend has been struggling with psilocybin use,1
My friend has been struggling with suboxone use,1
Long-term meth use causes serious damage,1
Getting clean from methadone changed my life,1
Synthetic xanax is extremely dangerous,1
Staying clean from cannabis is challenging,1
I've been sober from methamphetamine for 6 months,1
The effects of methamphetamine wear off quickly,1
My family loves salad for dinner,0
I never want to use methamphetamine again,1
Getting clean from meth changed my life,1
The effects of mescaline wear off quickly,1
The golf match was exciting,0
I had a productive day at the mall,0
Medical treatment for dilaudid requires expertise,1
The cricket match was exciting,0
I watched a great drama film at the cinema,0
The side effects of opium are severe,1
The humid weather ruined my swimming,0
I went boxing with my friends yesterday,0
spice can be highly addictive and dangerous,1
The effects of kratom wear off quickly,1
I've been sober from vicodin for 15 years,1
I had a productive day at the park,0
Long-term bath salts use causes serious damage,1
I baked steak from scratch today,0
Medical treatment for ghb requires expertise,1
Seeking help for spice addiction was the best decision,1
percocet abuse has serious health consequences,1
I never want to use valium again,1
I enjoy reading in my free time,0
The book club discussed a poetry novel,0
Staying clean from gbl is challenging,1
My garden has beautiful canyon,0
My ecstasy habit cost me everything,1
Staying clean from weed is challenging,1
Withdrawing from dmt is very difficult,1
My cricket team won the game yesterday,0
I baked fruit from scratch today,0
The cake I made tasted delicious,0
The ice cream I made tasted delicious,0
Reading historical books is my favorite activity,0
Treatment for gbl dependency requires professional help,1
My garden has beautiful meadow,0
Mixing hydrocodone with alcohol is deadly,1
Reading adventure books is my favorite activity,0
I baked salad from scratch today,0
My dancing hobby has become my passion,0
I went basketball with my friends yesterday,0
I took kratom yesterday for anxiety relief,1
The romance movie was amazing last night,0
Mixing valium with alcohol is deadly,1
Treatment for marijuana dependency requires professional help,1
cocaine abuse has serious health consequences,1
The dangers of psilocybin are well-documented,1
The cheese dessert was perfectly made,0
Seeking help for percocet addiction was the best decision,1
My methadone habit cost me everything,1
Recovery from heroin takes time and commitment,1
My garden has beautiful waterfall,0
Getting clean from synthetic cannabis changed my life,1
My family supported my hydrocodone recovery,1
Synthetic methamphetamine is extremely dangerous,1
weed abuse has serious health consequences,1
My khat habit cost me everything,1
The side effects of hydrocodone are severe,1
I had a productive day at the restaurant,0
The effects of ketamine wear off quickly,1
I took bath salts yesterday for stress relief,1
Seeking help for benzos addiction was the best decision,1
The sunset was beautiful at the canyon,0
I never want to use gbl again,1
Rehab helped me quit crack,1
Synthetic hydrocodone is extremely dangerous,1
I watched a great fantasy film at the cinema,0
My hockey team won the game yesterday,0
The snowy weather ruined my surfing,0
I watched a great animated film at the cinema,0
My tennis team won the game yesterday,0
My friend has been struggling with kratom use,1
The side effects of mdma are severe,1
The western movie was amazing last night,0
Watching action movies relaxes me,0
My family loves bread for dinner,0
I love eating chicken on weekends,0
The side effects of xanax are severe,1
The book club discussed a thriller novel,0
dmt addiction is a serious problem,1
Long-term morphine use causes serious damage,1
My pcpx habit cost me everything,1
The documentary movie was amazing last night,0
codeine is commonly misused for recreation,1
Rehab helped me quit kratom,1
My garden has beautiful cave,0
People with synthetic cannabis addiction need support,1
My family supported my ketamine recovery,1
lsd withdrawal symptoms include hallucinations,1
People with heroin addiction need support,1
My work colleagues are very friendly,0
The side effects of lsd are severe,1
Reading romance books is my favorite activity,0
I love eating yogurt on weekends,0
People with ghb addiction need support,1
The drama movie was amazing last night,0
My family loves chocolate for dinner,0
My garden has beautiful canyon,0
My family loves pizza for dinner,0
Getting clean from tramadol changed my life,1
I discovered a new writing I really enjoy,0
I've been sober from xanax for 6 months,1
The side effects of benzos are severe,1
I love the smell of fresh pizza,0
methamphetamine can be highly addictive and dangerous,1
"The weather is warm today, perfect for cycling",0
khat can be highly addictive and dangerous,1
Overdosing on dilaudid can be fatal,1
I went badminton with my friends yesterday,0
My garden has beautiful valley,0
The animated movie was amazing last night,0
